"NCR_PD_BAND_ID","NCR_PD_BAND_KEY_VAL","NCR_EXPSR_CL_KEY_VAL","PD_MIN_VAL","PD_MAX_VAL","PD_MIN_VAL_DESC","PD_MAX_VAL_DESC","PD_BAND_EXPSR_CL_DESC","NCR_PD_BAND_DESC","FRS_CD","PD_BAND","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
17409,"1415","0503",0.99890000,0.99890000,"99.89%","99.89%",HELOC,PD Band 15,"15","15","202401","999912",Y,2024-01-29-13.42.00.000000,2024-01-29-13.42.00.000000
17410,"1415","0504",0.28990000,0.51150000,"28.99%","51.15%",Total QRRE,PD Band 15,"15","15","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17412,"1415","0599",0.09910000,0.13100000,"9.91%","13.10%",No Exposure Class,PD Band 15,"15","15","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17201,"1416","0510",,,,,Residential Mortgage - CMHC Insured,PD Band 16,"16","16","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17202,"1416","0511",,,,,Residential Mortgage - Other Insured,PD Band 16,"16","16","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17205,"1417","0500",,,,,Total Retail,PD Band 17,"17","17","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17420,"1417","0504",0.62210000,0.82860000,"62.21%","82.86%",Total QRRE,PD Band 17,"17","17","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17533,"1417","0599",0.10100000,0.13360000,"10.10%","13.36%",No Exposure Class,PD Band 17,"17","17","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17228,"1418","0599",0.19440000,0.25920000,"19.4400%","25.9200%",No Exposure Class,PD Band 18,"18","18","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17236,"1419","0507",0.99930000,0.99930000,"99.9300%","99.9300%",Other Retail,PD Band 19,"19","19","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17238,"1419","0511",,,,,Residential Mortgage - Other Insured,PD Band 19,"19","19","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17242,"1420","0501",,,,,Mortgage and HELOC,PD Band 20,"20","20","200010","999912",Y,2023-05-29-12.10.00.000000,2023-05-29-12.10.00.000000
17539,"1420","0504",0.87380000,0.96410000,"87.38%","96.41%",Total QRRE,PD Band 20,"20","20","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17615,"1420","0599",0.17640000,0.19840000,"17.64%","19.84%",No Exposure Class,PD Band 20,"20","20","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17439,"1421","0503",0.99950000,0.99950000,"99.95%","99.95%",HELOC,PD Band 21,"21","21","202401","999912",Y,2024-01-29-13.42.00.000000,2024-01-29-13.42.00.000000
17256,"1421","0503",0.99950000,0.99950000,"99.9500%","99.9500%",HELOC,PD Band 21,"21","21","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
17542,"1421","0599",0.28210000,0.37570000,"28.21%","37.57%",No Exposure Class,PD Band 21,"21","21","202412","202512",N,2025-01-06-13.57.00.000000,2026-01-08-09.59.00.000000
17620,"1422","0599",0.24000000,0.36520000,"24.00%","36.52%",No Exposure Class,PD Band 22,"22","22","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17452,"1423","0599",0.75640000,0.86420000,"75.64%","86.42%",No Exposure Class,PD Band 23,"23","23","202401","202411",N,2024-01-29-13.42.00.000000,2024-12-13-13.57.00.000000
17625,"1425","0507",0.46370000,0.99990000,"46.37%","99.99%",Other Retail,PD Band 25,"25","25","202601","999912",Y,2026-01-08-09.59.00.000000,2026-01-08-09.59.00.000000
17315,"1426","0502",1.00000000,1.00000000,"100.0000%","100.0000%",Mortgage,Defaulted - 100%,"26","26","200010","202312",N,2023-05-29-12.10.00.000000,2024-01-29-13.42.00.000000
